northing,easting,down,roll,pitch,yaw
5735843.604931,620071.214558,-111.500732,0.02034,-0.010057,6.238043
5735843.771266,620071.200025,-111.501506,0.02052,-0.010195,6.238002
5735843.937601,620071.185492,-111.502278,0.02054,-0.010353,6.237956
5735844.103716,620071.171034,-111.502986,0.020529,-0.010574,6.237887
5735844.234071,620071.201481,-111.5077,0.020318,-0.010796,6.237769
5735844.399968,620071.187235,-111.508351,0.019987,-0.011005,6.23767
5735844.565863,620071.17292,-111.508947,0.020035,-0.011214,6.237524
5735844.731538,620071.15868,-111.509442,0.020174,-0.011422,6.237391
5735844.8971,620071.144373,-111.509961,0.02048,-0.011696,6.237296
5735845.06255,620071.130068,-111.510515,0.020883,-0.011931,6.237177
5735845.228001,620071.115764,-111.511099,0.021445,-0.012267,6.237079
5735845.393229,620071.101465,-111.511564,0.021913,-0.012483,6.236988
5735845.558458,620071.087235,-111.51198,0.02208,-0.012698,6.236883
5735845.723466,620071.07301,-111.512474,0.021827,-0.01298,6.236792
5735845.888473,620071.058785,-111.513156,0.020992,-0.01348,6.236704
5735846.053368,620071.044494,-111.513912,0.020287,-0.014132,6.236599
5735846.218148,620071.030067,-111.514494,0.019636,-0.014626,6.236522
5735846.382813,620071.015505,-111.514934,0.019089,-0.015034,6.236464
5735846.547254,620071.00088,-111.515143,0.019093,-0.015236,6.236386
5735846.711693,620070.986116,-111.515169,0.019228,-0.015177,6.236363
5735846.875907,620070.971289,-111.515045,0.01914,-0.014873,6.236381
5735847.040122,620070.956531,-111.515009,0.019066,-0.014674,6.236377
5735847.204228,620070.941844,-111.514791,0.019173,-0.014229,6.23635
5735847.368111,620070.927094,-111.514398,0.019505,-0.013537,6.23633
5735847.532107,620070.912479,-111.513819,0.020044,-0.012776,6.23626
5735847.695885,620070.898007,-111.513319,0.020579,-0.011988,6.236146
5735847.859552,620070.883607,-111.512915,0.021019,-0.011284,6.236047
5735848.023224,620070.869345,-111.51266,0.021131,-0.010678,6.235903
5735848.186674,620070.855158,-111.512512,0.021018,-0.010237,6.235754
5735848.350234,620070.840898,-111.512324,0.02055,-0.009731,6.235653
5735848.513572,620070.826644,-111.511948,0.020308,-0.009215,6.235575
5735848.676908,620070.812321,-111.511244,0.020036,-0.008583,6.235496
5735848.839902,620070.797661,-111.510624,0.019561,-0.008126,6.235566
5735849.002894,620070.782932,-111.510233,0.019423,-0.007753,6.235644
5735849.165775,620070.768206,-111.510312,0.019437,-0.007717,6.235653
5735849.328429,620070.753277,-111.510841,0.019515,-0.007861,6.235779
5735849.491085,620070.738418,-111.511744,0.019565,-0.008189,6.235829
5735849.653521,620070.723702,-111.512783,0.019533,-0.00855,6.235808
5735849.815958,620070.708987,-111.513952,0.01939,-0.008999,6.235815
5735849.978173,620070.694345,-111.515418,0.019151,-0.009574,6.235753
5735850.140389,620070.679704,-111.517108,0.018929,-0.010207,6.235698
5735850.302495,620070.665134,-111.518896,0.018797,-0.010841,6.23564
5735850.46449,620070.650567,-111.520569,0.018641,-0.011421,6.235571
5735850.626485,620070.635999,-111.522014,0.018365,-0.011813,6.235542
5735850.788257,620070.621437,-111.523278,0.017961,-0.012072,6.235499
5735850.950028,620070.606807,-111.52445,0.01759,-0.012304,6.235451
5735851.111576,620070.592181,-111.52558,0.017347,-0.012514,6.235419
5735851.273123,620070.577486,-111.526591,0.017297,-0.01269,6.235373
5735851.434559,620070.562794,-111.527386,0.01747,-0.012822,6.235371
5735851.595885,620070.548174,-111.52794,0.017163,-0.01289,6.235344
5735851.757214,620070.533692,-111.528365,0.016758,-0.012985,6.235272
5735851.918319,620070.519146,-111.528687,0.016248,-0.013002,6.235216
5735852.079312,620070.504534,-111.529016,0.015744,-0.013079,6.235189
5735852.240304,620070.489921,-111.529322,0.015158,-0.01328,6.235185
5735852.401183,620070.475243,-111.529457,0.014633,-0.013262,6.235185
5735852.561841,620070.460569,-111.529389,0.014459,-0.013191,6.235146
5735852.722496,620070.445827,-111.52915,0.014672,-0.012872,6.235111
5735852.882927,620070.431021,-111.528907,0.015057,-0.01253,6.235062
5735853.043362,620070.416353,-111.528718,0.015386,-0.012219,6.234969
5735853.203574,620070.40169,-111.52858,0.015623,-0.011877,6.234864
5735853.36379,620070.387165,-111.528508,0.015662,-0.011615,6.23473
5735853.523894,620070.372643,-111.528483,0.015659,-0.011339,6.234575
5735853.683887,620070.358124,-111.528496,0.01586,-0.011051,6.234416
5735853.843657,620070.343541,-111.528565,0.016337,-0.010756,6.234247
5735854.003427,620070.329026,-111.528651,0.016869,-0.010423,6.234069
5735854.163196,620070.314443,-111.528758,0.017221,-0.010119,6.233927
5735854.322746,620070.300004,-111.528815,0.017228,-0.009825,6.233747
5735854.482183,620070.285497,-111.528862,0.017093,-0.009522,6.233554
5735854.641509,620070.270994,-111.528979,0.016897,-0.009264,6.233387
5735854.800721,620070.256355,-111.529078,0.016798,-0.008959,6.233225
5735854.959931,620070.241647,-111.5291,0.016835,-0.008612,6.233072
5735855.118918,620070.226945,-111.529299,0.017124,-0.00832,6.2329
5735855.27768,620070.212109,-111.529858,0.017571,-0.008199,6.232755
5735855.436436,620070.197067,-111.530768,0.018228,-0.008204,6.232666
5735855.595084,620070.182096,-111.531809,0.018811,-0.008291,6.232546
5735855.753621,620070.167197,-111.532848,0.019294,-0.008366,6.232429
5735855.912157,620070.152229,-111.533901,0.019568,-0.008484,6.232343
5735856.070474,620070.137405,-111.535031,0.019555,-0.008693,6.232233
5735856.228678,620070.122514,-111.536206,0.019441,-0.008986,6.232111
5735856.386882,620070.107623,-111.537433,0.019318,-0.009311,6.232004
5735856.544863,620070.092737,-111.538749,0.019256,-0.009628,6.231891
5735856.702842,620070.077713,-111.540016,0.019267,-0.009904,6.231797
5735856.860599,620070.062764,-111.541154,0.019073,-0.010071,6.231705
5735857.018353,620070.047676,-111.542115,0.01871,-0.010191,6.231621
5735857.175996,620070.032592,-111.542982,0.018394,-0.010264,6.231505
5735857.333415,620070.017443,-111.543856,0.018344,-0.010386,6.231382
5735857.490833,620070.002226,-111.544743,0.018516,-0.010392,6.231277
5735857.648028,620069.987013,-111.545642,0.01882,-0.010357,6.231146
5735857.805222,620069.971801,-111.546526,0.019272,-0.010317,6.231019
5735857.962197,620069.956663,-111.54737,0.019677,-0.010248,6.230884
5735858.119172,620069.941595,-111.548204,0.020086,-0.010214,6.230739
5735858.275927,620069.9266,-111.549003,0.020512,-0.010185,6.23059
5735858.432684,620069.911674,-111.549787,0.020624,-0.010165,6.230437
5735858.589333,620069.89689,-111.550459,0.020475,-0.010066,6.230263
5735858.745867,620069.881969,-111.550991,0.020221,-0.009953,6.230108
5735858.90229,620069.867052,-111.551316,0.019974,-0.00971,6.22996
5735859.058599,620069.851999,-111.551579,0.019833,-0.009466,6.229834
5735859.214793,620069.836811,-111.551934,0.019751,-0.009217,6.229716
5735859.370874,620069.821556,-111.552442,0.019717,-0.009108,6.229609
5735859.526842,620069.806235,-111.55296,0.019696,-0.008927,6.229513
5735859.682698,620069.790848,-111.553422,0.019648,-0.008795,6.229439
5735859.838329,620069.775397,-111.553805,0.019843,-0.008551,6.22936
5735859.99396,620069.759945,-111.554253,0.020014,-0.008371,6.229305
5735860.149368,620069.744431,-111.554894,0.020182,-0.008242,6.229253
5735860.304666,620069.728988,-111.555739,0.020437,-0.008191,6.229158
5735860.524658,620069.930054,-111.730228,0.020782,-0.008196,6.228884
5735860.679743,620069.91503,-111.731372,0.020949,-0.008218,6.228799
5735860.834832,620069.900144,-111.732487,0.021047,-0.008265,6.228675
5735860.989809,620069.885261,-111.733605,0.020954,-0.008347,6.228553
5735861.144564,620069.870384,-111.734777,0.020892,-0.008528,6.228469
5735861.299206,620069.85544,-111.735988,0.020713,-0.008736,6.22837
5735861.453626,620069.840501,-111.737204,0.020726,-0.008918,6.228305
5735861.60782,620069.825429,-111.73848,0.020643,-0.009124,6.22825
5735861.761903,620069.81036,-111.739785,0.020683,-0.009328,6.228202
5735861.915763,620069.795297,-111.741074,0.020754,-0.00949,6.228143
5735862.069399,620069.780169,-111.742329,0.020811,-0.009629,6.228091
5735862.222702,620069.76505,-111.743565,0.021055,-0.009733,6.22802
5735862.375893,620069.749933,-111.744751,0.021359,-0.009744,6.227934
5735862.528753,620069.734894,-111.746009,0.021808,-0.009781,6.227834
5735862.681392,620069.719928,-111.747312,0.022107,-0.009792,6.227716
5735862.83381,620069.705037,-111.748646,0.022426,-0.009826,6.227583
5735862.985896,620069.690223,-111.750048,0.022713,-0.009911,6.227408
5735863.137759,620069.675414,-111.751464,0.022963,-0.01006,6.227226
5735863.289291,620069.660683,-111.752823,0.023056,-0.010212,6.227025
5735863.440489,620069.645959,-111.754154,0.023044,-0.010449,6.226811
5735863.591464,620069.63124,-111.755537,0.023008,-0.010856,6.226607
5735863.742105,620069.616461,-111.756834,0.023147,-0.011299,6.226408
5735863.8923,620069.601692,-111.758021,0.023414,-0.011636,6.226217
5735864.04227,620069.58679,-111.759126,0.023671,-0.011918,6.226039
5735864.191796,620069.571968,-111.760234,0.023956,-0.012189,6.225845
5735864.341097,620069.557013,-111.761291,0.024617,-0.012478,6.22566
5735864.490065,620069.542066,-111.762294,0.025379,-0.012656,6.225535
5735864.638584,620069.526992,-111.763269,0.025925,-0.012807,6.225452
5735864.786773,620069.512064,-111.764284,0.026,-0.012986,6.225315
5735864.934741,620069.49721,-111.765424,0.025836,-0.013386,6.225163
5735865.082373,620069.482295,-111.766682,0.02575,-0.013998,6.225022
5735865.229671,620069.467319,-111.76802,0.025799,-0.014593,6.224916
5735865.376635,620069.452351,-111.769451,0.025691,-0.015256,6.224809
5735865.523376,620069.437388,-111.77095,0.025482,-0.015996,6.224699
5735865.669783,620069.422364,-111.772366,0.02478,-0.016729,6.224613
5735865.815855,620069.407348,-111.773666,0.023666,-0.017336,6.224539
5735865.961593,620069.392271,-111.774749,0.022508,-0.017818,6.224435
5735866.107104,620069.377062,-111.77551,0.021451,-0.018085,6.224377
5735866.252169,620069.361794,-111.77583,0.020751,-0.018001,6.224314
5735866.396899,620069.346465,-111.775941,0.020305,-0.017577,6.224227
5735866.541403,620069.331003,-111.776063,0.020279,-0.017006,6.224179
5735866.685464,620069.315621,-111.776321,0.020103,-0.016318,6.224119
5735866.829306,620069.300382,-111.776426,0.020352,-0.015386,6.223968
5735866.972818,620069.285289,-111.77638,0.021307,-0.014196,6.223698
5735867.115996,620069.270204,-111.776426,0.02212,-0.01304,6.223509
5735867.258847,620069.255403,-111.776831,0.022311,-0.012007,6.223343
5735867.401593,620069.240881,-111.777388,0.021471,-0.011138,6.223078
5735867.544006,620069.226367,-111.777682,0.020789,-0.010145,6.222896
5735867.68608,620069.211654,-111.777601,0.020199,-0.009005,6.222817
5735867.82782,620069.196948,-111.777482,0.019904,-0.007832,6.222758
5735867.930862,620069.341769,-111.849871,0.020247,-0.00676,6.222595
5735868.072157,620069.327074,-111.850034,0.020463,-0.005868,6.222597
5735868.213118,620069.312318,-111.849994,0.020287,-0.005078,6.222686
5735868.353632,620069.297504,-111.849907,0.020071,-0.004237,6.222725
5735868.493923,620069.282695,-111.850108,0.019799,-0.003815,6.222766
5735868.633988,620069.267685,-111.85057,0.019444,-0.003624,6.222878
5735868.773609,620069.252754,-111.85119,0.019237,-0.003512,6.222899
5735868.913009,620069.237897,-111.852217,0.018898,-0.003697,6.222865
5735869.052075,620069.223048,-111.853907,0.018525,-0.004213,6.222812
5735869.190923,620069.208343,-111.856175,0.017891,-0.005156,6.222694
5735869.329437,620069.193645,-111.858626,0.017359,-0.006002,6.222601
5735869.467617,620069.178956,-111.861482,0.017073,-0.007001,6.222457
5735869.605573,620069.164203,-111.86451,0.016964,-0.008048,6.222344
5735869.743194,620069.149389,-111.86758,0.017198,-0.008871,6.222321
5735869.880596,620069.134718,-111.870301,0.017416,-0.009447,6.222279
5735870.017664,620069.120055,-111.872885,0.018246,-0.009749,6.222255
5735870.154513,620069.105535,-111.875456,0.018772,-0.010026,6.222247
5735870.29103,620069.091093,-111.878177,0.01957,-0.01026,6.222231
5735870.42733,620069.076862,-111.88091,0.020595,-0.010464,6.222076
5735870.56341,620069.062775,-111.883586,0.021725,-0.01068,6.221917
5735870.699159,620069.048765,-111.886097,0.022509,-0.010826,6.221742
5735870.8348,620069.034896,-111.888221,0.022962,-0.01085,6.221489
5735870.970108,620069.021104,-111.890206,0.023331,-0.010834,6.221148
5735871.105193,620069.007247,-111.891978,0.023546,-0.01087,6.220855
5735871.239939,620068.993192,-111.893554,0.023892,-0.010809,6.220591
5735871.374463,620068.979143,-111.894849,0.024179,-0.010642,6.220301
5735871.508757,620068.964822,-111.895817,0.024587,-0.010371,6.220094
5735871.642713,620068.950302,-111.89649,0.025024,-0.010021,6.219923
5735871.776556,620068.935716,-111.896807,0.025247,-0.009515,6.219798
5735871.909952,620068.921003,-111.897092,0.025366,-0.008937,6.21972
5735872.043232,620068.906154,-111.89741,0.025207,-0.008502,6.219656
5735872.176068,620068.891316,-111.898023,0.025047,-0.008201,6.219609
5735872.308792,620068.876481,-111.898789,0.024951,-0.008025,6.219563
5735872.441185,620068.861722,-111.899968,0.024937,-0.008196,6.219466
5735872.573357,620068.847038,-111.901458,0.024743,-0.008445,6.21935
5735872.705311,620068.832566,-111.903266,0.024479,-0.00886,6.219193
5735872.837045,620068.818168,-111.905076,0.024047,-0.00924,6.219001
5735872.968446,620068.803848,-111.906867,0.023748,-0.009564,6.218805
5735873.099737,620068.78953,-111.908704,0.023392,-0.009871,6.218602
5735873.230692,620068.775151,-111.910573,0.023244,-0.010191,6.218462
5735873.361425,620068.760777,-111.912401,0.023121,-0.010476,6.218352
5735873.492043,620068.746268,-111.914018,0.022913,-0.010667,6.218276
5735873.622329,620068.731836,-111.915557,0.022746,-0.010761,6.218242
5735873.75239,620068.717271,-111.917,0.022441,-0.010862,6.218234
5735873.882228,620068.702712,-111.918445,0.022144,-0.010974,6.218232
5735874.011845,620068.688227,-111.919922,0.021871,-0.011149,6.218222
5735874.141239,620068.673678,-111.921519,0.021574,-0.011446,6.218211
5735874.270409,620068.659134,-111.923147,0.021187,-0.011769,6.218178
5735874.399358,620068.644596,-111.924785,0.020813,-0.012068,6.218122
5735874.37403,620068.814229,-111.941256,0.020653,-0.012235,6.217925
5735874.502206,620068.799985,-111.942817,0.020663,-0.01232,6.217846
5735874.630162,620068.785816,-111.944177,0.020924,-0.012184,6.217764
5735874.757897,620068.771721,-111.945302,0.021306,-0.011866,6.217667
5735874.885408,620068.757562,-111.946174,0.021682,-0.011379,6.217582
5735875.0127,620068.743547,-111.946968,0.022062,-0.010758,6.217502
5735875.13966,620068.729608,-111.947787,0.022321,-0.010168,6.217406
5735875.266399,620068.715744,-111.948688,0.022578,-0.00958,6.217322
5735875.392916,620068.701886,-111.949609,0.022783,-0.009007,6.217255
5735875.51921,620068.688032,-111.950585,0.02308,-0.008419,6.21719
5735875.645282,620068.674184,-111.951628,0.02333,-0.007963,6.217141
5735875.771243,620068.660338,-111.952765,0.02329,-0.0076,6.217079
5735875.896872,620068.64657,-111.953958,0.023012,-0.007404,6.216966
5735876.022167,620068.632809,-111.955204,0.022644,-0.007263,6.216802
5735876.147348,620068.618913,-111.956454,0.022412,-0.007204,6.21662
5735876.272306,620068.605023,-111.957592,0.022298,-0.00706,6.216419
5735876.397038,620068.590999,-111.958563,0.02213,-0.0068,6.216196
5735876.521547,620068.576912,-111.959367,0.021888,-0.006448,6.215985
5735876.64572,620068.562764,-111.960073,0.021384,-0.00603,6.215778
5735876.769779,620068.54848,-111.960742,0.020731,-0.005613,6.215582
5735876.893615,620068.534202,-111.961565,0.020089,-0.005298,6.215376
5735877.017116,620068.519863,-111.962693,0.019586,-0.005124,6.215168
5735877.140395,620068.505529,-111.964174,0.019292,-0.005148,6.214988
5735877.263449,620068.491132,-111.965971,0.019038,-0.005322,6.214818
5735877.386283,620068.476808,-111.967978,0.018965,-0.005604,6.214657
5735877.508894,620068.46249,-111.970208,0.018905,-0.00599,6.214502
5735877.631287,620068.448316,-111.972625,0.018913,-0.006442,6.214363
5735877.753456,620068.434146,-111.9752,0.018872,-0.006979,6.214218
5735877.875407,620068.42012,-111.977794,0.018802,-0.007482,6.214075
5735877.997137,620068.406168,-111.980432,0.018712,-0.007999,6.213929
5735878.118646,620068.392291,-111.983087,0.018573,-0.008512,6.213754
5735878.239936,620068.378557,-111.985704,0.018371,-0.009012,6.21357
5735878.361114,620068.364756,-111.988131,0.018097,-0.009466,6.213392
5735878.482178,620068.35089,-111.990248,0.017826,-0.009791,6.213241
5735878.602907,620068.336962,-111.992123,0.017676,-0.010006,6.213109
5735878.723409,620068.322832,-111.993898,0.0177,-0.010248,6.213015
5735878.843686,620068.308639,-111.995708,0.017955,-0.010511,6.212951
5735878.96385,620068.29431,-111.997528,0.018227,-0.010794,6.212904
5735879.083681,620068.280059,-111.999384,0.018462,-0.011096,6.212869
5735879.203401,620068.26581,-112.001211,0.018578,-0.011445,6.21283
5735879.323011,620068.251632,-112.002925,0.01849,-0.011707,6.212802
5735879.442398,620068.237391,-112.004496,0.018239,-0.011885,6.212773
5735879.561563,620068.223224,-112.005938,0.017889,-0.011998,6.212725
5735879.680507,620068.209063,-112.007298,0.017493,-0.012054,6.212677
5735879.799339,620068.194904,-112.008554,0.01721,-0.012105,6.2126
5735879.91795,620068.18082,-112.009742,0.016948,-0.012127,6.212496
5735880.036448,620068.166669,-112.010861,0.016776,-0.01214,6.212372
5735880.154726,620068.152592,-112.011967,0.016648,-0.012163,6.212184
5735880.272894,620068.138588,-112.013087,0.016664,-0.012204,6.211985
5735880.390838,620068.124519,-112.014218,0.016687,-0.012279,6.21179
5735880.368465,620068.278131,-112.029483,0.016603,-0.012351,6.211438
5735880.48586,620068.264352,-112.030723,0.016227,-0.012557,6.211269
5735880.603145,620068.250644,-112.031961,0.015628,-0.012718,6.211097
5735880.720316,620068.236801,-112.033113,0.015164,-0.012828,6.210936
5735880.837375,620068.222961,-112.034143,0.014937,-0.012838,6.210812
5735880.95432,620068.208985,-112.03504,0.01499,-0.012743,6.210718
5735881.07104,620068.194946,-112.035892,0.015228,-0.012604,6.210636
5735881.187872,620068.180904,-112.036729,0.01552,-0.012482,6.21057
5735881.304482,620068.166867,-112.037591,0.015798,-0.012408,6.210504
5735881.421091,620068.152831,-112.038533,0.015949,-0.012474,6.210423
5735881.537704,620068.138932,-112.039598,0.015882,-0.012764,6.210318
5735881.654206,620068.125036,-112.040776,0.015592,-0.013358,6.210179
5735881.770599,620068.111281,-112.041946,0.015072,-0.013845,6.20999
5735881.886771,620068.09753,-112.043096,0.014633,-0.014242,6.209769
5735882.00294,620068.083711,-112.044252,0.014116,-0.014483,6.20955
5735882.118997,620068.069826,-112.045402,0.01379,-0.014625,6.209336
5735882.234943,620068.055943,-112.046389,0.013698,-0.014612,6.209099
5735882.350883,620068.041853,-112.047345,0.013824,-0.014544,6.208938
5735882.466711,620068.027697,-112.048315,0.01399,-0.014549,6.208818
5735882.582429,620068.013613,-112.049312,0.014032,-0.014537,6.208676
5735882.698146,620067.999459,-112.05032,0.014142,-0.014618,6.208572
5735882.81375,620067.985239,-112.051352,0.01416,-0.01469,6.208471
5735882.929133,620067.971094,-112.052346,0.013918,-0.014592,6.208421
5735883.044514,620067.956879,-112.053207,0.013162,-0.014268,6.208379
5735883.159786,620067.942737,-112.053893,0.012193,-0.013707,6.20828
5735883.274946,620067.928596,-112.054582,0.011518,-0.013139,6.20818
5735883.389992,620067.914321,-112.055331,0.011068,-0.012431,6.208076
5735883.504927,620067.900048,-112.056226,0.010908,-0.011795,6.207942
5735883.619862,620067.885775,-112.057191,0.010842,-0.011219,6.207778
5735883.734687,620067.871574,-112.058153,0.010677,-0.010679,6.207611
5735883.849403,620067.857444,-112.05912,0.010316,-0.010184,6.207411
5735883.964119,620067.843314,-112.060041,0.010235,-0.009708,6.207171
5735884.078725,620067.829256,-112.060651,0.010506,-0.009067,6.206952
5735884.193439,620067.815058,-112.060649,0.010891,-0.008118,6.206788
5735884.307821,620067.800936,-112.06032,0.01128,-0.007012,6.206648
5735884.42209,620067.786748,-112.060184,0.011637,-0.006141,6.206525
5735884.536247,620067.772494,-112.060605,0.011882,-0.005525,6.206451
5735884.650292,620067.758242,-112.061515,0.012201,-0.005223,6.206392
5735884.764228,620067.744062,-112.062617,0.012517,-0.005089,6.20631
5735884.878052,620067.729885,-112.063812,0.012873,-0.004985,6.206222
5735884.99188,620067.715845,-112.065057,0.013064,-0.004991,6.206102
5735885.105596,620067.701809,-112.066252,0.013176,-0.004927,6.205955
5735885.219313,620067.687772,-112.067253,0.013164,-0.004852,6.2058
5735885.332918,620067.673738,-112.068017,0.013213,-0.00459,6.205606
5735885.446299,620067.65964,-112.068789,0.013117,-0.004331,6.205401
5735885.559455,620067.64541,-112.070038,0.013144,-0.004281,6.205276
5735885.67261,620067.631179,-112.07175,0.012991,-0.004475,6.205124
5735885.78565,620067.616744,-112.073862,0.012895,-0.004816,6.204991
5735885.898576,620067.602243,-112.076097,0.012728,-0.005234,6.204885
5735886.01139,620067.587675,-112.078555,0.012498,-0.005713,6.204755
5735886.287054,620067.80426,-112.317504,0.012272,-0.006291,6.204289
5735886.399985,620067.789966,-112.320374,0.011706,-0.006806,6.204166
5735886.512692,620067.775608,-112.323114,0.010975,-0.007275,6.204061
5735886.625402,620067.761319,-112.325676,0.010193,-0.007609,6.203926
5735886.737888,620067.747036,-112.328264,0.009638,-0.007959,6.203741
5735886.850262,620067.732686,-112.330973,0.009258,-0.00832,6.20356
5735886.962637,620067.718405,-112.333798,0.00915,-0.008722,6.203375
5735887.074903,620067.704196,-112.336542,0.009089,-0.009048,6.203169
5735887.187058,620067.689989,-112.339174,0.009217,-0.009314,6.202969
5735887.299214,620067.675851,-112.341595,0.009307,-0.009473,6.202773
5735887.411259,620067.661717,-112.343796,0.009353,-0.009466,6.202579
5735887.523197,620067.647722,-112.345769,0.009326,-0.00939,6.202358
5735887.635023,620067.633731,-112.347617,0.009317,-0.009279,6.202141
5735887.746739,620067.619811,-112.349379,0.009306,-0.009163,6.201953
5735887.858343,620067.605824,-112.351127,0.009328,-0.009073,6.201768
5735887.969945,620067.591769,-112.352861,0.009442,-0.009024,6.2016
