northing,easting,down
5735942.42,620063.0138,-63.6138
5735942.42,620063.0138,-63.6138
5735942.42,620063.0138,-63.6138
5735942.42,620063.0138,-63.6138
5735953.678,620060.5664,-65.6032
5735954.781,620060.514,-65.0356
5735956.707,620061.3604,-62.5834
5735958.184,620061.7222,-61.2279
5735958.422,620060.8844,-63.02
5735959.248,620060.3178,-63.3065
5735960.353,620059.6666,-62.7758
5735961.243,620060.304,-62.9923
5735962.822,620060.7058,-61.6852
5735963.042,620059.881,-63.3826
5735964.245,620059.5336,-62.5268
5735964.629,620059.3495,-63.9873
5735964.629,620059.3495,-63.9873
5735964.629,620059.3495,-63.9873
5735964.629,620059.3495,-63.9873
5735968.321,620058.7694,-63.6132
5735968.893,620058.3665,-64.385
5735970.408,620058.8088,-62.6286
5735971.018,620058.3823,-63.3425
5735972.098,620058.4917,-62.661
5735972.805,620058.2287,-62.8953
5735973.52,620058.0173,-63.1008
5735974.452,620058.0083,-62.8177
5735975.346,620057.9907,-62.4005
5735975.597,620057.7743,-62.8177
5735975.597,620057.7743,-62.8177
5735975.597,620057.7743,-62.8177
5735975.597,620057.7743,-62.8177
5735975.597,620057.7743,-62.8177
5735975.597,620057.7743,-62.8177
5735975.597,620057.7743,-62.8177
5735975.597,620057.7743,-62.8177
5735975.597,620057.7743,-62.8177
5735975.597,620057.7743,-62.8177
5735975.597,620057.7743,-62.8177
5735975.597,620057.7743,-62.8177
5735975.597,620057.7743,-62.8177
5735975.597,620057.7743,-62.8177
5735975.597,620057.7743,-62.8177
5735975.597,620057.7743,-62.8177
5735985.377,620057.8781,-63.5841
5735985.782,620058.2343,-63.2423
5735987.263,620059.1149,-65.4958
5735987.489,620059.5336,-64.9798
5735987.913,620060.091,-64.987
5735988.69,620060.8753,-65.6223
5735991.911,620062.5378,-71.7858
5735991.663,620062.9485,-71.0474
5735989.174,620062.5498,-65.9274
5735988.838,620063.0273,-64.9524
5735988.591,620063.5681,-64.03
5735988.564,620064.3172,-63.8939
5735988.892,620065.0871,-64.5161
5735989.161,620065.5034,-63.2457
5735988.432,620066.5397,-62.8208
5735988.984,620067.6032,-63.865
5735989.39,620068.6392,-64.5431
5735988.403,620069.1327,-62.8298
5735987.476,620069.7282,-61.0347
5735987.531,620070.7403,-61.2908
5735987.211,620071.6136,-60.6359
5735987.279,620072.6764,-61.0889
5735987.248,620073.6609,-61.554
5735987.547,620074.8768,-62.49
5735987.691,620076.0313,-63.193
5735987.466,620077.0372,-63.4772
5735987.086,620077.9927,-63.6837
5735986.5,620078.8933,-63.369
5735986.5,620078.8933,-63.369
5735986.5,620078.8933,-63.369
5735986.5,620078.8933,-63.369
5735986.5,620078.8933,-63.369
5735986.5,620078.8933,-63.369
5735986.5,620078.8933,-63.369
5735986.5,620078.8933,-63.369
5735986.5,620078.8933,-63.369
5735986.5,620078.8933,-63.369
5735986.5,620078.8933,-63.369
5735986.5,620078.8933,-63.369
5735986.5,620078.8933,-63.369
5735977.87,620089.303,-63.2805
5735977.211,620089.9081,-63.972
5735976.35,620090.3888,-64.5304
5735975.204,620090.7695,-64.244
5735974.362,620091.2428,-64.5628
5735971.921,620091.1122,-61.8043
5735971.851,620091.8545,-63.3538
5735970.298,620092.1247,-62.4526
5735968.354,620092.3124,-61.4946
5735967.725,620092.5702,-61.8793
5735967.401,620093.0401,-62.2948
5735964.512,620093.0151,-59.4422
5735964.163,620093.7066,-60.8076
5735964.307,620094.6002,-63.2378
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735963.093,620094.9856,-62.9802
5735856.654,620152.41,-62.1465
5735856.624,620153.6605,-64.1239
5735855.302,620154.4262,-63.4522
5735852.874,620154.6585,-61.2929
5735852.712,620155.8754,-62.8582
5735852.714,620157.0889,-65.3073
5735853.278,620158.5934,-68.3547
5735853.278,620158.5934,-68.3547
5735853.278,620158.5934,-68.3547
5735853.278,620158.5934,-68.3547
5735853.278,620158.5934,-68.3547
5735853.278,620158.5934,-68.3547
5735853.278,620158.5934,-68.3547
5735853.278,620158.5934,-68.3547
5735853.278,620158.5934,-68.3547
5735853.278,620158.5934,-68.3547
5735853.278,620158.5934,-68.3547
5735839.465,620167.6794,-60.0467
5735837.057,620167.8508,-58.6384
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735836.382,620168.1386,-59.0614
5735748.798,620259.4778,-58.4704
5735748.181,620260.9432,-58.6696
5735747.236,620261.7653,-61.6378
5735747.283,620263.3323,-61.8052
5735746.485,620264.2364,-63.985
5735744.701,620264.9154,-63.2707
5735745.999,620267.6486,-61.006
5735743.079,620266.8181,-66.1026
5735742.505,620268.3081,-64.0203
5735741.133,620269.3253,-62.8301
5735741.772,620270.9986,-60.1244
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
5735754.309,620278.0269,-86.8984
